Index,RTT
1,0.097
2,0.103
3,0.092
4,0.065
5,0.102
6,0.191
7,0.525
8,0.184
9,0.42
10,0.408
11,0.124
12,0.097
13,0.101
14,0.087
15,0.091
16,0.752
17,0.068
18,0.166
19,0.252
20,0.106
21,0.112
22,0.091
23,0.079
24,0.079
25,0.142
26,0.075
27,0.104
28,0.075
29,0.072
30,0.223
31,0.073
32,0.147
33,0.091
34,0.066
35,0.068
36,0.117
37,0.073
38,0.118
39,0.189
40,0.146
41,0.161
42,0.07
43,0.087
44,0.244
45,0.118
46,0.081
47,0.111
48,0.081
49,0.235
50,0.112
51,0.075
52,0.18
53,0.072
54,0.094
55,0.09
56,0.121
57,0.117
58,0.069
59,0.114
60,0.138
61,0.126
62,0.133
63,0.073
64,0.218
65,0.137
66,0.132
67,0.15
68,0.113
69,0.136
70,0.387
71,0.175
72,0.073
73,0.111
74,0.139
75,0.065
76,0.279
77,1.385
78,0.102
79,0.152
80,0.077
81,0.065
82,0.399
83,0.068
84,0.213
85,0.07
86,0.172
87,0.101
88,0.241
89,0.097
90,0.112
91,0.069
92,0.072
93,0.066
94,0.093
95,0.073
96,0.16
97,0.084
98,0.066
99,0.133
100,0.07
101,0.075
102,0.113
103,0.085
104,0.106
105,0.078
106,0.155
107,0.123
108,0.117
109,0.196
110,0.198
111,0.227
112,0.165
113,0.065
114,0.072
115,0.09
116,0.064
117,0.207
118,0.253
119,0.192
120,0.071
121,0.192
122,0.152
123,0.071
124,0.106
125,0.078
126,0.071
127,0.136
128,0.104
129,0.084
130,0.091
131,0.357
132,0.324
133,0.068
134,0.181
135,0.102
136,0.275
137,0.123
138,0.531
139,0.129
140,0.069
141,0.287
142,0.074
143,0.065
144,0.073
145,0.078
146,0.094
147,0.065
148,0.07
149,0.071
150,0.09
151,0.087
152,3.174
153,0.097
154,2.074
155,0.556
156,0.312
157,0.139
158,0.076
159,0.112
160,0.406
161,0.406
162,0.211
163,0.165
164,0.07
165,0.106
166,0.097
167,0.569
168,0.398
169,0.243
170,0.607
171,0.071
172,0.095
173,0.07
174,0.119
175,0.16
176,0.285
177,0.069
178,0.064
179,0.097
180,0.091
181,0.087
182,0.108
183,0.267
184,0.093
185,0.092
186,0.071
187,0.075
188,0.819
189,0.53
190,0.073
191,0.146
192,0.073
193,0.251
194,0.241
195,0.308
196,0.065
197,0.067
198,0.069
199,0.549
200,0.076
201,0.541
202,0.106
203,0.066
204,0.585
205,0.075
206,0.266
207,0.149
208,0.068
209,0.086
210,0.1
211,0.138
212,0.068
213,0.152
214,0.085
215,0.228
216,0.076
217,0.131
218,0.083
219,0.071
220,0.073
221,0.067
222,0.072
223,0.067
224,0.769
225,0.072
226,0.099
227,0.084
228,0.107
229,0.078
230,0.094
231,0.187
232,0.082
233,0.068
234,0.17
235,0.107
236,0.112
237,0.065
238,0.622
239,0.087
240,0.105
241,0.309
242,0.069
243,0.123
244,0.074
245,0.257
246,0.066
247,0.344
248,0.092
249,0.066
250,0.125
251,0.302
252,0.095
253,0.127
254,0.089
255,0.086
256,0.125
257,0.103
258,0.256
259,0.11
260,0.141
261,0.102
262,0.605
263,0.132
264,0.072
265,0.276
266,0.07
267,0.105
268,0.507
269,0.082
270,0.105
271,0.069
272,0.081
273,0.236
274,0.088
275,0.127
276,0.072
277,0.083
278,0.148
279,0.143
280,0.615
281,0.8
282,0.718
283,0.125
284,0.151
285,0.067
286,0.167
287,0.502
288,0.098
289,0.071
290,0.098
291,0.082
292,0.101
293,0.497
294,0.068
295,0.161
296,0.075
297,0.161
298,0.069
299,0.066
300,0.067
