number of packet,RTT(ms)
1,0.078
2,0.254
3,0.121
4,0.092
5,0.084
6,0.099
7,0.13
8,0.183
9,0.09
10,0.14
11,0.109
12,0.207
13,0.086
14,0.15
15,0.112
16,0.122
17,0.081
18,0.08
19,0.079
20,0.104
21,0.131
22,0.121
23,0.155
24,0.111
25,0.089
26,0.087
27,0.076
28,0.153
29,0.076
30,0.09
31,0.088
32,0.08
33,0.101
34,0.101
35,0.151
36,0.084
37,0.169
38,0.103
39,0.182
40,0.098
41,0.113
42,0.073
43,0.072
44,0.087
45,0.324
46,0.105
47,0.09
48,0.115
49,0.084
50,0.187
51,0.111
52,0.149
53,0.092
54,0.084
55,0.093
56,0.079
57,0.103
58,0.092
59,0.176
60,0.395
61,0.126
62,0.11
63,0.087
64,0.081
65,0.14
66,0.759
67,0.169
68,0.077
69,0.126
70,0.081
71,0.07
72,0.362
73,0.077
74,0.137
75,4.067
76,0.083
77,0.159
78,0.084
79,0.092
80,0.112
81,0.072
82,0.072
83,0.09
84,0.12
85,0.081
86,0.113
87,0.107
88,0.095
89,0.678
90,0.075
91,0.084
92,0.159
93,0.131
94,0.257
95,0.216
96,0.072
97,0.08
98,0.328
99,0.127
100,0.07
101,0.139
102,0.116
103,0.095
104,0.077
105,0.082
106,0.158
107,0.083
108,0.124
109,0.093
110,0.071
111,0.074
112,0.112
113,0.089
114,0.116
115,0.278
116,0.097
117,0.081
118,0.443
119,0.109
120,0.192
121,0.073
122,0.086
123,0.24
124,0.12
125,0.143
126,0.087
127,0.077
128,0.084
129,0.071
130,0.071
131,0.078
132,0.089
133,0.072
134,0.143
135,0.078
136,0.103
137,0.092
138,0.122
139,0.462
140,0.075
141,0.101
142,0.354
143,0.08
144,0.092
145,0.07
146,0.161
147,0.248
148,0.078
149,0.098
150,0.07
151,0.1
152,0.151
153,0.23
154,0.082
155,0.071
156,0.08
157,0.116
158,0.113
159,0.106
160,0.071
161,0.089
162,0.09
163,0.077
164,0.168
165,0.098
166,0.106
167,0.081
168,0.07
169,0.086
170,0.104
171,0.127
172,0.084
173,0.135
174,0.083
175,0.08
176,0.076
177,0.099
178,0.958
179,0.072
180,0.506
181,0.082
182,0.102
183,0.2
184,0.14
185,0.075
186,0.183
187,0.07
188,0.094
189,0.162
190,0.147
191,0.363
192,0.127
193,0.085
194,0.089
195,0.071
196,0.07
197,0.206
198,0.08
199,0.09
200,0.817
201,0.075
202,0.126
203,0.165
204,0.07
205,0.078
206,0.119
207,0.077
208,0.072
209,0.17
210,0.102
211,0.082
212,0.132
213,0.083
214,0.069
215,0.202
216,0.081
217,0.082
218,0.144
219,0.127
220,0.106
221,0.08
222,0.122
223,0.086
224,0.097
225,0.186
226,0.098
227,0.072
228,0.098
229,0.139
230,0.081
231,0.091
232,0.131
233,0.209
234,0.166
235,0.162
236,0.117
237,0.226
238,0.095
239,0.073
240,0.091
241,0.135
242,0.092
243,0.329
244,0.233
245,0.078
246,0.114
247,0.149
248,0.468
249,0.204
250,0.071
251,0.077
252,0.09
253,0.155
254,0.096
255,0.129
256,0.191
257,0.099
258,0.077
259,0.109
260,0.095
261,0.156
262,0.15
263,0.12
264,0.086
265,0.097
266,0.074
267,0.101
268,0.125
269,0.108
270,0.092
271,0.153
272,0.106
273,0.084
274,0.083
275,0.074
276,0.142
277,0.087
278,0.078
279,0.08
280,0.077
281,0.076
282,0.141
283,0.081
284,0.316
285,0.09
286,0.116
287,0.07
288,0.073
289,0.249
290,0.108
291,0.116
292,0.138
293,0.078
294,0.119
295,0.1
296,0.27
297,0.071
298,0.076
299,0.091
300,0.077
