number of packet,RTT(ms)
1,0.584
2,0.815
3,0.425
4,0.416
5,0.476
6,2.06
7,0.444
8,1.374
9,0.391
10,0.383
11,0.389
12,0.377
13,0.405
14,0.363
15,0.36
16,0.395
17,0.687
18,0.404
19,0.468
20,0.416
21,0.379
22,0.496
23,0.373
24,3.373
25,1.236
26,0.402
27,1.091
28,0.462
29,0.374
30,0.359
31,0.414
32,0.589
33,0.595
34,0.361
35,0.482
36,0.354
37,0.382
38,0.474
39,0.393
40,0.374
41,1.279
42,0.401
43,0.376
44,0.688
45,1.378
46,0.402
47,0.502
48,0.45
49,0.637
50,0.832
51,0.543
52,0.384
53,0.391
54,0.662
55,0.406
56,1.04
57,0.371
58,1.19
59,0.747
60,0.393
61,0.404
62,0.926
63,0.61
64,3.918
65,0.527
66,1.206
67,0.451
68,2.118
69,0.499
70,1.482
71,0.412
72,0.488
73,0.361
74,0.567
75,0.386
76,0.8
77,0.372
78,0.384
79,0.464
80,0.93
81,0.571
82,0.497
83,0.854
84,0.412
85,0.66
86,0.452
87,0.428
88,0.475
89,0.721
90,0.397
91,0.401
92,0.501
93,0.591
94,0.737
95,0.621
96,1.464
97,0.394
98,0.847
99,0.809
100,0.565
101,0.833
102,0.99
103,1.273
104,1.119
105,0.692
106,0.654
107,0.944
108,0.49
109,0.534
110,0.764
111,0.498
112,0.362
113,0.866
114,0.968
115,1.136
116,1.413
117,0.406
118,0.359
119,2.698
120,0.736
121,0.552
122,0.357
123,0.76
124,0.441
125,0.437
126,0.532
127,0.93
128,0.659
129,1.013
130,0.477
131,0.809
132,0.429
133,1.185
134,0.691
135,0.432
136,1.107
137,0.397
138,0.654
139,0.4
140,1.525
141,0.391
142,0.607
143,0.513
144,0.491
145,0.606
146,0.355
147,0.396
148,1.373
149,0.578
150,2.288
151,0.479
152,0.553
153,0.841
154,0.435
155,0.522
156,0.427
157,0.409
158,0.647
159,0.899
160,0.353
161,0.362
162,0.403
163,5.016
164,0.455
165,0.366
166,0.617
167,0.482
168,0.46
169,0.424
170,1.37
171,0.437
172,0.572
173,0.633
174,0.411
175,0.466
176,0.472
177,0.752
178,0.547
179,0.46
180,1.689
181,0.465
182,0.457
183,0.392
184,0.515
185,2.597
186,0.37
187,0.488
188,0.356
189,0.674
190,0.517
191,0.367
192,0.452
193,0.375
194,0.641
195,0.366
196,0.454
197,0.37
198,0.519
199,0.417
200,0.518
201,0.469
202,0.632
203,0.757
204,0.52
205,0.432
206,1.389
207,0.358
208,1.595
209,0.374
210,0.841
211,0.598
212,0.629
213,0.646
214,0.627
215,9.551
216,0.391
217,0.488
218,0.473
219,1.879
220,0.38
221,0.357
222,0.354
223,0.385
224,0.514
225,0.647
226,0.411
227,0.467
228,0.621
229,1.163
230,0.515
231,0.7
232,0.358
233,0.406
234,1.155
235,1.101
236,0.387
237,0.737
238,0.921
239,1.381
240,0.421
241,0.654
242,0.37
243,0.431
244,1.445
245,0.371
246,0.47
247,0.45
248,0.486
249,0.431
250,1.055
251,0.673
252,0.709
253,0.536
254,0.544
255,0.597
256,0.452
257,0.606
258,0.445
259,0.75
260,2.865
261,0.378
262,0.408
263,0.468
264,0.659
265,0.515
266,0.455
267,0.646
268,0.445
269,0.405
270,0.532
271,0.414
272,0.483
273,0.4
274,0.619
275,0.689
276,1.784
277,0.39
278,0.626
279,0.839
280,3.331
281,0.377
282,0.354
283,0.412
284,0.363
285,0.537
286,0.375
287,0.498
288,0.393
289,0.355
290,0.374
291,0.375
292,0.382
293,0.474
294,0.414
295,1.102
296,0.395
297,0.481
298,0.412
299,1.47
300,0.502
