number of packet,RTT(ms)
1,0.439
2,0.43
3,0.659
4,0.477
5,0.794
6,0.613
7,0.411
8,0.469
9,0.712
10,0.555
11,0.468
12,1.166
13,0.501
14,0.64
15,2.474
16,0.498
17,0.418
18,0.392
19,0.522
20,0.99
21,0.456
22,1.239
23,0.415
24,0.397
25,0.707
26,0.465
27,1.014
28,0.396
29,0.534
30,0.547
31,0.466
32,0.493
33,0.944
34,0.432
35,0.869
36,0.607
37,3.254
38,2.808
39,0.84
40,1.099
41,0.663
42,0.729
43,0.47
44,0.639
45,0.4
46,0.572
47,1.844
48,0.395
49,0.439
50,0.466
51,0.813
52,0.396
53,0.395
54,0.746
55,0.735
56,0.426
57,1.035
58,0.708
59,0.514
60,0.465
61,0.392
62,2.927
63,0.457
64,0.597
65,0.549
66,0.935
67,0.407
68,0.434
69,0.839
70,0.751
71,0.467
72,0.643
73,0.531
74,0.576
75,0.394
76,0.542
77,0.902
78,1.877
79,0.412
80,1.01
81,1.443
82,0.417
83,1.904
84,0.42
85,0.817
86,0.611
87,0.606
88,0.446
89,0.476
90,2.395
91,1.153
92,0.532
93,0.605
94,0.745
95,0.44
96,1.047
97,0.611
98,0.582
99,0.471
100,0.429
101,0.491
102,0.601
103,0.472
104,0.392
105,0.402
106,0.882
107,0.551
108,1.104
109,0.532
110,0.563
111,0.786
112,0.935
113,0.474
114,0.845
115,0.937
116,0.726
117,10.987
118,0.484
119,0.391
120,3.349
121,0.436
122,0.913
123,0.628
124,0.621
125,0.513
126,0.434
127,0.445
128,0.48
129,0.43
130,0.48
131,0.416
132,0.413
133,3.471
134,1.689
135,1.967
136,0.546
137,0.622
138,0.5
139,1.009
140,1.042
141,0.45
142,0.477
143,0.949
144,0.404
145,0.915
146,1.616
147,0.472
148,0.464
149,0.813
150,0.49
151,0.553
152,0.607
153,0.509
154,1.761
155,0.407
156,1.627
157,0.426
158,1.024
159,1.776
160,0.823
161,0.441
162,0.929
163,0.443
164,0.469
165,0.896
166,0.4
167,0.435
168,0.433
169,0.404
170,0.587
171,0.396
172,0.499
173,1.046
174,0.502
175,1.445
176,0.421
177,0.398
178,0.566
179,0.557
180,0.978
181,0.437
182,0.498
183,2.191
184,0.889
185,0.403
186,0.55
187,0.86
188,0.447
189,0.962
190,2.283
191,0.394
192,0.449
193,0.398
194,1.422
195,0.441
196,0.776
197,0.468
198,0.451
199,2.291
200,0.602
201,0.674
202,0.461
203,0.994
204,0.399
205,0.597
206,0.613
207,0.844
208,0.526
209,1.012
210,0.456
211,0.563
212,0.574
213,0.421
214,0.391
215,0.493
216,0.534
217,0.556
218,0.734
219,2.52
220,2.846
221,0.491
222,0.825
223,0.44
224,0.482
225,0.394
226,1.3
227,1.314
228,0.574
229,0.467
230,0.477
231,0.414
232,0.398
233,0.504
234,0.439
235,0.421
236,0.614
237,0.515
238,4.136
239,2.415
240,0.539
241,0.436
242,2.264
243,1.119
244,1.066
245,0.425
246,0.558
247,0.596
248,0.475
249,1.068
250,0.74
251,0.427
252,0.452
253,0.618
254,0.544
255,0.915
256,0.456
257,0.415
258,0.402
259,0.807
260,1.063
261,0.538
262,0.413
263,0.89
264,0.478
265,0.464
266,0.477
267,0.487
268,0.404
269,0.43
270,0.675
271,0.549
272,0.878
273,1.004
274,0.477
275,0.791
276,0.734
277,0.396
278,4.891
279,0.642
280,0.417
281,0.397
282,0.88
283,0.541
284,0.467
285,0.737
286,0.646
287,0.421
288,0.497
289,0.438
290,0.647
291,0.858
292,1.081
293,1.151
294,0.406
295,0.784
296,0.476
297,0.514
298,1.473
299,0.399
300,0.68
