Traffic (Mbps),RTT (ms)
9.6,0.115427441
9.6,0.134839386
9.6,0.100656094
9.6,0.115676253
9.6,0.11635478
9.6,0.207482485
9.6,0.116826339
9.6,0.114794402
9.6,0.101763672
9.6,0.127383791
9.6,0.140219396
9.6,0.215571064
9.6,0.2205
9.6,0.107365377
9.6,0.140255109
9.6,0.103748265
9.6,0.217761798
9.6,0.135136005
9.6,0.2205
9.6,0.113459498
9.6,0.147177005
9.6,0.141052727
9.6,0.149548266
9.6,0.117740737
9.6,0.115631262
9.6,0.101029837
9.6,0.103999042
9.6,0.100794695
9.6,0.102051298
9.6,0.112161053
9.6,0.2205
9.6,0.12140917
9.6,0.10255089
9.6,0.2205
9.6,0.101618383
9.6,0.121821582
9.6,0.106421529
9.6,0.159888141
9.6,0.111937993
9.6,0.110072079
9.6,0.140290545
9.6,0.181407582
9.6,0.119052224
9.6,0.196372156
9.6,0.103657398
9.6,0.2205
9.6,0.136786302
9.6,0.168652402
9.6,0.2205
9.6,0.104487513
9.6,0.101745771
9.6,0.128854822
9.6,0.117783422
9.6,0.128818302
9.6,0.2205
9.6,0.102064061
9.6,0.100630126
9.6,0.115770641
9.6,0.113098232
9.6,0.104089078
9.6,0.100928528
9.6,0.149821005
9.6,0.2205
9.6,0.131775248
9.6,0.2205
9.6,0.130084652
9.6,0.112622505
9.6,0.118562261
9.6,0.103768626
9.6,0.104746972
9.6,0.103922129
9.6,0.182849669
9.6,0.134400641
9.6,0.115133127
9.6,0.103217127
9.6,0.137520488
9.6,0.126063762
9.6,0.2205
9.6,0.162950913
9.6,0.202544798
9.6,0.168389144
9.6,0.19842429
9.6,0.137454893
9.6,0.157027936
9.6,0.121961801
9.6,0.121179396
9.6,0.963828795
9.6,0.122391329
9.6,0.128841162
9.6,0.176945456
9.6,0.2205
9.6,0.184778773
9.6,0.112193973
9.6,0.102232649
9.6,0.195080914
9.6,0.101366169
9.6,0.191223287
9.6,0.139914684
9.6,0.100503797
9.6,0.117718568
96,0.2955
96,0.225051234
96,0.145539648
96,0.136161162
96,0.165476356
96,0.165529722
96,0.163284744
96,0.144020872
96,0.135295733
96,0.145981759
96,0.129914101
96,0.15043091
96,0.130448341
96,0.144878978
96,0.146941369
96,0.2955
96,0.261195892
96,0.19285834
96,0.148930783
96,0.1345062
96,0.2955
96,0.143658549
96,0.197287169
96,0.17789391
96,0.145077511
96,0.143959227
96,0.28417897
96,0.129551866
96,0.2955
96,0.137809339
96,0.193599566
96,0.2955
96,0.196394202
96,0.14220152
96,0.192647817
96,0.222615318
96,0.153576405
96,0.151724611
96,0.135971478
96,0.14104929
96,0.274942976
96,0.144273799
96,0.235688881
96,0.185751233
96,0.134297591
96,0.130900366
96,0.148032689
96,0.165599588
96,0.15786618
96,0.145025517
96,0.185410033
96,0.185879875
96,0.147297679
96,0.130810817
96,0.1504321
96,0.138634305
96,0.167212488
96,0.142294474
96,0.145918244
96,0.236662113
96,0.243248388
96,0.133472799
96,0.181642992
96,0.16998731
96,0.172169752
96,0.136696877
96,0.241105817
96,0.269682969
96,0.150852007
96,0.225848951
96,0.160013379
96,0.227820343
96,0.164956608
96,0.188033212
96,0.139179917
96,0.2955
96,0.216968282
96,0.195911901
96,0.151222691
96,0.192812644
96,0.2955
96,0.152000528
96,0.218014722
96,0.145454582
96,0.128539627
96,0.20574887
96,0.177406242
96,0.232050307
96,0.150017152
96,0.130267094
96,0.149098814
96,0.163363594
96,0.203298923
96,0.153395682
96,0.2955
96,0.222993983
96,0.136903253
96,0.137877722
96,0.197379758
96,0.17677852
482,0.531
482,0.531
482,0.238443919
482,0.398348838
482,0.270779201
482,0.379558426
482,0.30305077
482,0.224169539
482,0.326657158
482,0.341298186
482,0.298689976
482,0.531
482,0.240094352
482,0.334153789
482,0.531
482,0.240741863
482,0.242417177
482,0.292211948
482,0.240179222
482,0.248660889
482,0.25478889
482,0.218755164
482,0.229498136
482,0.30438962
482,0.307009006
482,0.278539883
482,0.355529473
482,0.316660815
482,0.256096711
482,0.221534873
482,0.35785864
482,0.289518084
482,0.277625503
482,0.228233793
482,0.329066278
482,0.265862262
482,0.266316702
482,0.230881322
482,0.418479066
482,0.39174083
482,0.237118808
482,0.246988181
482,0.288169536
482,0.531
482,0.298805773
482,0.264248923
482,0.249385148
482,0.239049827
482,0.361159053
482,0.307965758
482,0.219336366
482,0.256677675
482,0.531
482,0.222504142
482,0.230135031
482,0.261439995
482,0.436980878
482,0.230230542
482,0.262694939
482,0.417666557
482,0.375369306
482,0.242242113
482,0.234082765
482,0.226583043
482,0.231026521
482,0.229901253
482,0.408172305
482,0.342225327
482,0.252242245
482,0.470588673
482,0.235377935
482,0.246909166
482,0.359749035
482,0.220883779
482,0.335507872
482,0.260398518
482,0.317066853
482,0.286073424
482,0.364944831
482,0.239278121
482,0.242619689
482,0.389953059
482,0.449946752
482,0.240457237
482,0.242116075
482,0.261396956
482,0.504678373
482,0.531
482,0.232104546
482,0.429303853
482,0.323307438
482,0.286373337
482,0.376231873
