Index,RTT
1,0.292
2,0.18
3,0.136
4,0.093
5,0.203
6,0.097
7,0.093
8,0.276
9,0.116
10,0.093
11,0.584
12,0.849
13,0.146
14,0.867
15,0.095
16,0.339
17,0.291
18,0.219
19,0.101
20,0.099
21,0.094
22,0.236
23,0.128
24,0.1
25,0.309
26,0.145
27,0.09
28,0.111
29,0.127
30,1.191
31,0.101
32,0.093
33,0.176
34,0.108
35,0.124
36,0.118
37,0.213
38,0.088
39,0.147
40,0.094
41,0.091
42,0.155
43,0.868
44,0.101
45,0.116
46,0.117
47,0.113
48,0.142
49,0.149
50,0.104
51,0.095
52,0.946
53,0.14
54,0.109
55,0.255
56,0.099
57,0.389
58,0.098
59,0.124
60,0.322
61,0.123
62,0.326
63,3.424
64,0.115
65,0.09
66,1.032
67,0.145
68,0.114
69,0.156
70,0.465
71,0.111
72,0.09
73,0.22
74,0.319
75,0.222
76,0.104
77,0.133
78,0.123
79,0.184
80,0.115
81,0.09
82,0.1
83,0.129
84,0.092
85,0.121
86,0.317
87,0.416
88,0.113
89,0.099
90,0.377
91,0.113
92,0.09
93,0.188
94,0.11
95,0.113
96,0.165
97,0.087
98,0.097
99,0.114
100,0.169
101,0.178
102,0.115
103,0.13
104,0.155
105,0.126
106,0.302
107,0.132
108,0.094
109,0.431
110,0.146
111,0.092
112,0.102
113,0.184
114,0.092
115,0.24
116,0.16
117,0.103
118,0.203
119,0.188
120,0.178
121,0.094
122,0.143
123,0.09
124,0.162
125,0.141
126,0.164
127,0.164
128,0.136
129,0.121
130,0.174
131,0.136
132,0.126
133,0.232
134,0.145
135,0.113
136,0.12
137,0.139
138,0.275
139,0.22
140,0.169
141,0.152
142,0.465
143,0.11
144,0.106
145,0.09
146,0.108
147,0.29
148,0.163
149,0.119
150,0.257
151,0.096
152,0.292
153,0.098
154,0.631
155,0.101
156,0.09
157,0.101
158,0.153
159,0.684
160,0.103
161,0.097
162,0.113
163,0.201
164,0.169
165,0.106
166,0.11
167,0.11
168,0.092
169,0.106
170,0.192
171,0.099
172,0.091
173,0.097
174,0.087
175,0.129
176,0.306
177,0.13
178,0.089
179,0.108
180,0.1
181,0.619
182,0.237
183,0.289
184,0.101
185,0.106
186,0.148
187,0.221
188,0.143
189,0.243
190,0.239
191,0.137
192,0.153
193,0.239
194,0.099
195,0.203
196,0.124
197,0.246
198,0.088
199,0.098
200,0.088
201,0.396
202,0.095
203,0.528
204,0.146
205,0.112
206,0.093
207,0.096
208,0.216
209,0.25
210,0.134
211,0.097
212,0.242
213,0.455
214,0.108
215,0.109
216,0.093
217,0.108
218,0.754
219,0.122
220,0.218
221,0.702
222,0.14
223,0.154
224,0.527
225,0.262
226,0.104
227,0.597
228,0.162
229,0.09
230,0.258
231,0.093
232,0.195
233,0.105
234,0.093
235,0.094
236,0.099
237,0.972
238,0.225
239,0.13
240,0.098
241,0.098
242,0.12
243,0.154
244,0.424
245,0.09
246,0.201
247,0.092
248,0.629
249,0.167
250,0.168
251,0.211
252,0.106
253,0.102
254,0.094
255,0.184
256,0.645
257,0.355
258,0.487
259,0.109
260,0.883
261,0.134
262,1.362
263,0.287
264,0.28
265,0.314
266,0.088
267,0.115
268,0.272
269,0.125
270,0.094
271,0.175
272,0.109
273,0.138
274,0.227
275,0.11
276,0.111
277,0.127
278,0.124
279,0.162
280,0.093
281,0.107
282,0.186
283,0.158
284,0.146
285,0.113
286,0.109
287,0.125
288,0.136
289,0.134
290,0.086
291,0.299
292,0.398
293,0.14
294,0.14
295,0.139
296,0.087
297,0.12
298,0.097
299,0.119
300,0.101
