number of packet,RTT(ms)
1,0.394
2,0.328
3,0.321
4,0.34
5,0.389
6,0.362
7,0.378
8,0.809
9,0.425
10,0.476
11,0.346
12,0.498
13,0.33
14,0.347
15,0.366
16,1.701
17,0.295
18,0.316
19,0.789
20,0.309
21,3.561
22,0.544
23,0.324
24,0.379
25,1.231
26,0.35
27,0.598
28,0.323
29,0.297
30,1.126
31,0.383
32,2.856
33,0.306
34,0.484
35,0.435
36,3.51
37,0.514
38,0.449
39,0.522
40,3.781
41,0.649
42,0.346
43,0.453
44,0.383
45,1.384
46,0.557
47,0.532
48,1.413
49,0.544
50,0.689
51,0.599
52,0.309
53,1.097
54,0.714
55,0.753
56,0.429
57,0.323
58,0.851
59,0.489
60,0.51
61,0.578
62,0.449
63,0.668
64,0.416
65,0.457
66,0.538
67,0.571
68,0.306
69,0.475
70,0.487
71,0.399
72,0.354
73,0.642
74,0.332
75,0.363
76,0.577
77,0.395
78,0.333
79,0.407
80,1.317
81,5.753
82,0.485
83,0.505
84,0.399
85,2.307
86,1.02
87,0.407
88,0.387
89,0.292
90,0.329
91,0.428
92,2.154
93,0.719
94,0.709
95,0.435
96,0.659
97,0.389
98,0.346
99,0.954
100,0.882
101,0.467
102,0.367
103,0.362
104,0.418
105,0.443
106,0.928
107,0.377
108,0.503
109,0.389
110,0.499
111,0.553
112,0.398
113,1.456
114,1.167
115,1.063
116,0.454
117,0.545
118,0.348
119,1.762
120,3.201
121,1.422
122,4.328
123,0.44
124,0.322
125,0.517
126,0.442
127,0.316
128,0.448
129,1.485
130,0.532
131,0.314
132,0.514
133,0.838
134,0.345
135,0.613
136,0.445
137,0.458
138,0.301
139,0.342
140,0.347
141,0.716
142,0.545
143,1.533
144,0.322
145,0.587
146,0.364
147,0.363
148,0.366
149,0.377
150,0.422
151,0.473
152,0.403
153,0.3
154,0.892
155,0.294
156,0.313
157,0.882
158,1.247
159,0.324
160,0.498
161,0.43
162,0.417
163,0.298
164,0.321
165,1.354
166,0.888
167,4.196
168,0.349
169,1.135
170,0.323
171,0.448
172,1.126
173,0.321
174,0.324
175,0.43
176,0.542
177,1.458
178,1.414
179,1.244
180,0.667
181,0.345
182,1.638
183,0.297
184,0.413
185,2.443
186,0.376
187,0.423
188,0.348
189,0.896
190,0.507
191,0.768
192,0.495
193,0.341
194,0.355
195,0.574
196,0.772
197,0.38
198,1.152
199,0.48
200,0.458
201,0.295
202,0.44
203,1.0
204,0.993
205,0.363
206,0.318
207,0.305
208,0.827
209,0.675
210,0.551
211,1.112
212,0.313
213,0.909
214,0.61
215,0.433
216,0.353
217,2.0
218,0.397
219,0.401
220,0.556
221,0.393
222,1.416
223,0.369
224,0.956
225,1.172
226,0.354
227,0.361
228,0.499
229,0.407
230,0.417
231,0.86
232,0.62
233,0.358
234,1.643
235,1.658
236,0.337
237,1.421
238,2.479
239,0.383
240,0.649
241,0.659
242,0.591
243,0.468
244,0.459
245,0.485
246,0.56
247,0.32
248,0.522
249,0.367
250,0.435
251,0.298
252,0.577
253,0.319
254,3.005
255,0.326
256,0.865
257,0.523
258,0.293
259,0.299
260,0.3
261,0.447
262,0.363
263,0.561
264,0.458
265,0.6
266,0.332
267,0.433
268,0.875
269,2.274
270,0.413
271,0.327
272,0.687
273,1.332
274,0.34
275,0.405
276,0.356
277,0.414
278,2.066
279,0.577
280,0.309
281,0.728
282,0.803
283,4.133
284,0.989
285,0.32
286,0.368
287,0.944
288,0.302
289,0.48
290,0.512
291,0.383
292,0.293
293,0.441
294,0.395
295,0.407
296,0.463
297,0.395
298,1.441
299,0.296
300,0.447
