number of packet,RTT(ms)
1,0.34
2,0.593
3,0.423
4,0.838
5,1.24
6,0.334
7,0.322
8,0.347
9,0.319
10,0.842
11,0.507
12,0.329
13,0.403
14,0.685
15,0.661
16,0.409
17,0.301
18,0.293
19,0.309
20,0.484
21,0.454
22,0.295
23,2.386
24,0.431
25,0.355
26,0.323
27,0.633
28,0.317
29,0.295
30,0.364
31,1.361
32,0.435
33,1.792
34,0.636
35,0.468
36,0.355
37,0.346
38,0.327
39,1.475
40,0.455
41,0.509
42,0.3
43,0.891
44,0.536
45,0.327
46,0.536
47,0.479
48,0.333
49,1.063
50,0.335
51,0.378
52,0.296
53,0.979
54,0.59
55,0.439
56,0.949
57,1.1
58,0.887
59,0.379
60,0.361
61,0.645
62,0.326
63,0.618
64,0.351
65,0.438
66,0.446
67,0.426
68,0.374
69,0.376
70,0.599
71,0.507
72,0.438
73,0.395
74,0.517
75,0.302
76,0.818
77,0.351
78,0.353
79,0.319
80,0.453
81,0.459
82,0.393
83,0.298
84,0.499
85,1.025
86,0.481
87,0.404
88,0.537
89,0.45
90,0.361
91,0.773
92,0.432
93,0.308
94,0.628
95,0.342
96,0.318
97,0.33
98,1.48
99,0.52
100,0.299
101,0.346
102,0.314
103,0.629
104,0.373
105,0.47
106,0.621
107,0.373
108,0.335
109,0.555
110,0.393
111,0.325
112,0.514
113,0.35
114,0.299
115,0.706
116,0.641
117,0.372
118,0.449
119,0.419
120,0.324
121,1.142
122,2.806
123,0.674
124,0.313
125,0.808
126,0.31
127,0.548
128,0.448
129,0.385
130,0.96
131,4.605
132,2.3
133,0.383
134,0.387
135,0.712
136,0.355
137,0.319
138,0.954
139,0.602
140,0.572
141,0.405
142,0.4
143,0.308
144,9.258
145,0.459
146,0.58
147,0.534
148,0.328
149,1.284
150,0.494
151,0.322
152,0.435
153,0.321
154,0.472
155,0.553
156,4.285
157,0.392
158,0.348
159,0.548
160,2.488
161,2.634
162,0.411
163,0.37
164,0.314
165,0.507
166,0.624
167,0.526
168,0.311
169,0.426
170,0.329
171,0.441
172,0.409
173,0.294
174,0.591
175,0.547
176,0.35
177,0.414
178,0.602
179,0.484
180,0.371
181,0.321
182,0.294
183,0.558
184,0.464
185,0.317
186,1.174
187,0.903
188,0.414
189,0.461
190,0.297
191,0.343
192,0.383
193,0.31
194,0.362
195,0.588
196,0.315
197,0.378
198,0.361
199,0.387
200,0.465
201,0.345
202,0.299
203,0.341
204,0.551
205,0.343
206,0.485
207,0.775
208,0.427
209,0.328
210,0.43
211,1.065
212,0.346
213,0.575
214,0.381
215,0.854
216,0.306
217,0.314
218,0.535
219,0.328
220,0.409
221,0.538
222,0.325
223,0.838
224,0.459
225,2.126
226,0.717
227,0.346
228,0.399
229,0.299
230,0.406
231,0.422
232,0.397
233,0.663
234,0.594
235,0.379
236,0.31
237,0.876
238,0.301
239,0.581
240,0.378
241,0.438
242,0.864
243,0.648
244,0.345
245,0.332
246,1.321
247,0.543
248,0.397
249,0.414
250,0.316
251,0.466
252,0.321
253,0.339
254,0.295
255,0.702
256,0.649
257,0.448
258,0.956
259,0.335
260,0.359
261,0.382
262,0.294
263,0.694
264,0.653
265,0.409
266,0.623
267,0.305
268,0.495
269,0.541
270,0.408
271,0.296
272,0.299
273,0.311
274,0.444
275,0.307
276,0.347
277,0.609
278,0.325
279,0.306
280,0.846
281,0.324
282,0.461
283,0.339
284,0.313
285,0.317
286,0.302
287,0.304
288,0.358
289,0.424
290,0.407
291,0.435
292,0.626
293,0.366
294,0.477
295,0.32
296,0.474
297,0.92
298,0.298
299,2.051
300,0.426
